Phonetic,Spelling,Syllable Position,attribete,Examples
/oʊ ɔː/,oo,before r,Except values,coordinate
/ʊ/,ou,stressed,Except values,"could, should"
/ɒ/,ou,stressed,Except values,"cough, fount (printing)"
/juː/,ou,stressed,Except values,"ampoule, coupon (GA)"
/ʌ/,ou,stressed before r,Except values,"encourage, flourish"
/ʌ/,ou,unstressed,Except values,hiccough
/w/,ou,unstressed,Except values,"ratatouille, ouabaine"
/ɒ/,ow,stressed,Except values,"acknowledge, rowlock"
/əw/,ow,unstressed,Except values,"cassowary, toward (RP)"
/oʊj/,oy,NA,Except values,oyez
/aɪ/,oy,NA,Except values,coyote (GA)
/i/,oy,NA,Except values,buoy
/uː/,u,before multiple consonants,Except values,"truth, ruthless, brut"
/juː/,u,final vowel in word,Except values,"butte, debut, fuchsia, tulle"
/ɪ/,u,before single consonant,Except values,"busy, business"
/ʊ/,u,"above after /r/,/ʃ/,/ʒ/,/j/, cons.+/l/",Except values,sugar
/juː/,u,"above after /r/,/ʃ/,/ʒ/,/j/, cons.+/l/",Except values,"overuse, underused"
/ʊ(ə)/,u,before final r or r + cons.(and in derived terms),Except values,langur
/ɛ/,u,before r + vowel,Except values,"bury, burial"
/juː/,u,"after g, before a vowel",Except values,"jaguar (RP), ambiguity"
"/ɪ, ə/",u,unstressed,Except values,"minute, lettuce"
/weɪ/,ue,after g,Except values,segued
/wɛ/,ue,after g,Except values,guenon
/wə/,ue,after g,Except values,unguent
/wiː/,ue,after g,Except values,ungues
/juːə/,ue,after g,Except values,arguer
/eɪ/,ue,after g,Except values,merengue
/iː/,ue,after g,Except values,"dengue, Portuguese"
/uːɪ/,ue,after r or cons. + l,Except values,cruet
/uːɛ/,ue,after r or cons. + l,Except values,unfluential
/uːɪ/,ue,elsewhere (except after q),Except values,suet
/uːɛ/,ue,elsewhere (except after q),Except values,muezzin
/juːiː/,ue,elsewhere (except after q),Except values,tenues
/juːeɪ/,ue,elsewhere (except after q),Except values,habitue
/jʊə/,ue,elsewhere (except after q),Except values,puerile
/ʊ/,ue,elsewhere (except after q),Except values,muenster
/weɪ/,ue,elsewhere (except after q),Except values,"suede, Venezuelan"
/wɛ/,ue,elsewhere (except after q),Except values,pueblo
/wɪ/,ue,elsewhere (except after q),Except values,desuetude
/iː/,ui,after g,Except values,beguine
/wiː/,ui,after g,Except values,linguine
/juːɪ/,ui,after g,Except values,"arguing, aguish"
/juːə/,ui,after g,Except values,contiguity
/uːi/,ui,after g,Except values,GUI
/uːə/,ui,"after j, r, or cons. + l",Except values,incongruity
/uːj/,ui,"after j, r, or cons. + l",Except values,alleluia
/ʊ/,ui,"after j, r, or cons. + l",Except values,Cruickshank
/aɪ/,ui,elsewhere (except after q),Except values,duiker
/ə/,ui,elsewhere (except after q),Except values,circuitry
/wɪ/,ui,elsewhere (except after q),Except values,"cuisine, suint"
/wiː/,ui,elsewhere (except after q),Except values,"suite, ennui, tuille"
/uːaɪ/,ui,elsewhere (except after q),Except values,sui generis
/uˈʌ/,uu,NA,Except values,duumvir
/juː/,uu,NA,Except values,vacuum
/uː/,uu,NA,Except values,muumuu
/jʊɪ/,uy,NA,Except values,toluyl
/uːj/,uy,NA,Except values,"thuya, gruyere"
/ɪ/,y,before final r or r + cons.(and in derived terms),Except values,pyrrhic
/aɪ/,y,"unstressed, word-final",Except values,ally (n)
